shelter_address,longitude,latitude
349 George St M5A 2N2 Toronto ON CA,-79.37430669999999,43.6601215
20 Gerrard St E M5B 2P3 Toronto ON CA,-79.3814705,43.65934559999999
21 Park Rd M4W 2N1 Toronto ON CA,-79.3844397,43.6720826
60 York St M5J 1S8 Toronto ON CA,-79.3831526,43.646293
295 Sackville St M5A 3G1 Toronto ON CA,-79.3632732,43.6618512
25 Mendelssohn St M1L 0G8 Scarborough ON CA,-79.28057299999999,43.7146728
558 Bathurst St M5S 2P9 Toronto ON CA,-79.40883029999999,43.6584807
1161 Caledonia Rd M6A 2W9 Toronto ON CA,-79.4666149,43.7156521
5800 Yonge St  M2M 3T3 North York ON CA,-79.4168224,43.7842276
3576 St Clair Ave E M1K 1M2 Toronto ON CA,-79.2581094,43.717528
35 Sydenham St M5A 4H5 Toronto ON CA,-79.3624674,43.6567211
87 Pembroke St M5A 2N9 Toronto ON CA,-79.37235129999999,43.65921900000001
355 Gerrard St E M5A 2G5 Toronto ON CA,-79.3645073,43.6621659
30 Norfinch Dr M3N 1X1 North York ON CA,-79.5271739,43.756319
101 Placer Ct M2H 3H9 Toronto ON CA,-79.341403,43.8020246
525 Bloor St E M4W 1J1 Toronto ON CA,-79.373702,43.6717544
111 Spadina Rd M5R 2T1 Toronto ON CA,-79.4053326,43.67119
747 Warden Ave M1L 4A1 Scarborough ON CA,-79.2828583,43.71785269999999
4674 Kingston Rd M1E 2P9 Toronto ON CA,-79.1736301,43.7771153
70 Gerrard St E M5B 1G6 Toronto ON CA,-79.37831249999999,43.6600489
158 Madison Ave. M5R 2S5 Toronto ON CA,-79.40578839999999,43.6739614
98 The Esplanade M5E 1A9 Toronto ON CA,-79.3724946,43.6478467
805A Wellington St W M5V 1G8 Toronto ON CA,-79.4101805,43.6409036
1677 Wilson Ave M3L 1A5 North York  ON CA,-79.5145757,43.718533
4540 Kingston Rd M1E 2N8 Toronto ON CA,-79.1858602,43.7722894
55 John St M5V 3C6 Toronto ON CA,-79.388966,43.6460888
616 Vaughan Rd M6C 2R5 Toronto ON CA,-79.4398908,43.6918507
3410 Bayview Ave M2M 3S3 Toronto ON CA,-79.3954669,43.7979694
129 Peter St M5V 2H3 Toronto ON CA,-79.3931334,43.6487063
1684 Queen St E M4L 1G6 Toronto ON CA,-79.3135118,43.6673724
56 Yonge St M5E 1G5 Toronto ON CA,-79.37809229999999,43.6480319
80 Woodlawn Ave E M4T 1C1 Toronto ON CA,-79.3898478,43.6846902
2685 Kingston Rd M1M 1M4 Scarborough ON CA,-79.2404074,43.7179321
412 Queen St E M5A 1T3 Toronto ON CA,-79.36250249999999,43.6562539
1076 Pape Ave M4K 3W5 Toronto ON CA,-79.34966279999999,43.6909102
360 Lesmill Rd M3B 2T5 Toronto ON CA,-79.3609489,43.7633532
12 Holmes Ave M2N 4N4 Toronto ON CA,-79.41425,43.77829
731 Runnymede Rd M6N 3V7 Toronto ON CA,-79.4827373,43.66840089999999
2714 Danforth Ave M4C 1L7 Toronto ON CA,-79.29827139999999,43.6891847
165 Grange Ave M5T 2V5 Toronto ON CA,-79.4013362,43.6509088
29A Leslie St M4M 3C3 Toronto ON CA,-79.3293515,43.66190400000001
339 George St M5A 2N2 Toronto ON CA,-79.3739208,43.6595825
2035 Kennedy Rd M1T 3G2 Scarborough ON CA,-79.2829241,43.7769564
7 Vanauley St M5T 2V9 Toronto ON CA,-79.3982647,43.6488502
354 George St M5A 2N3 Toronto ON CA,-79.3745325,43.6594145
26 Gerrard St E M5B 1G3 Toronto ON CA,-79.3810178,43.6594865
2671 Islington Ave M9V 2X6 Toronto ON CA,-79.5658217,43.7393109
26 Vaughan Rd M6G 2C4 Toronto ON CA,-79.4188119,43.6818271
150 Borough Dr M1P 4N7 Toronto ON CA,-79.2576797,43.7728978
75 Elizabeth Street M5G 1P4 Toronto ON CA,-79.3845408,43.6542083
4222 Kingston Rd M1E 2M6 Toronto ON CA,-79.1968644,43.7609599
95 Wellesley St E M4Y 2X9 Toronto ON CA,-79.3792474,43.6658254
