"shelter_address"
"70 Gerrard St E M5B 1G6 Toronto ON CA"
"158 Madison Ave. M5R 2S5 Toronto ON CA"
"98 The Esplanade M5E 1A9 Toronto ON CA"
"805A Wellington St W M5V 1G8 Toronto ON CA"
"1677 Wilson Ave M3L 1A5 North York  ON CA"
"4540 Kingston Rd M1E 2N8 Toronto ON CA"
"55 John St M5V 3C6 Toronto ON CA"
"616 Vaughan Rd M6C 2R5 Toronto ON CA"
"3410 Bayview Ave M2M 3S3 Toronto ON CA"
"129 Peter St M5V 2H3 Toronto ON CA"
"1684 Queen St E M4L 1G6 Toronto ON CA"
"56 Yonge St M5E 1G5 Toronto ON CA"
"80 Woodlawn Ave E M4T 1C1 Toronto ON CA"
"2685 Kingston Rd M1M 1M4 Scarborough ON CA"
"412 Queen St E M5A 1T3 Toronto ON CA"
"1076 Pape Ave M4K 3W5 Toronto ON CA"
"360 Lesmill Rd M3B 2T5 Toronto ON CA"
"12 Holmes Ave M2N 4N4 Toronto ON CA"
"731 Runnymede Rd M6N 3V7 Toronto ON CA"
"2714 Danforth Ave M4C 1L7 Toronto ON CA"
"165 Grange Ave M5T 2V5 Toronto ON CA"
"29A Leslie St M4M 3C3 Toronto ON CA"
"339 George St M5A 2N2 Toronto ON CA"
"2035 Kennedy Rd M1T 3G2 Scarborough ON CA"
"7 Vanauley St M5T 2V9 Toronto ON CA"
"354 George St M5A 2N3 Toronto ON CA"
"26 Gerrard St E M5B 1G3 Toronto ON CA"
"2671 Islington Ave M9V 2X6 Toronto ON CA"
"26 Vaughan Rd M6G 2C4 Toronto ON CA"
"150 Borough Dr M1P 4N7 Toronto ON CA"
"75 Elizabeth Street M5G 1P4 Toronto ON CA"
"4222 Kingston Rd M1E 2M6 Toronto ON CA"
"95 Wellesley St E M4Y 2X9 Toronto ON CA"
